powerStatus,entry1,orderStatus,scanDone,inventory1,stoppingCylinder1up,conveyor1Status,intDigitalOutput,opDigitalOutput,palletClampingCylinder1Forward,rFIDPosition,gripper1Open,motorCylinder1Back,faceOne,faceTwo,faceThree,faceFour,numAccepted,stoppingCylinder1down,palletClampingCylinder1Back,motorCylinder1Forward,exit1,TimeStamps,TimeDifference
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:06.404583,00:00:04
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:10.217788,00:00:04
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:13.932037,00:00:03
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:16.952718,00:00:01
1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:17.956870,00:00:02
1,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:19.953653,00:00:00
1,0,1,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:19.980454,00:00:04
1,0,1,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:23.972512,00:00:03
1,0,1,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:26.978566,00:00:02
1,0,1,1,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:28.991756,00:00:03
1,0,1,1,6,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:31.997766,00:00:03
1,0,1,1,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2020-11-24 15:49:35.011529,00:00:06
1,0,1,1,6,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,2020-11-24 15:49:41.034350,00:00:07
1,0,1,1,6,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,2020-11-24 15:49:48.057686,00:00:03
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,2020-11-24 15:49:50.964376,00:00:03
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,2020-11-24 15:49:53.974459,00:00:03
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2020-11-24 15:49:56.996244,00:00:00
1,0,1,1,6,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2020-11-24 15:49:57.020709,00:00:05
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,2020-11-24 15:50:02.015338,00:00:02
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,2020-11-24 15:50:04.011990,00:00:02
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2020-11-24 15:50:06.025401,00:00:02
1,0,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2020-11-24 15:50:08.034892,00:00:02
1,0,1,1,6,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2020-11-24 15:50:10.042095,0
